熊	熋
熔	嫆
熙	凞
熟	孰
燃	嘫
燎	獠
燕	嬿
燥	璪
爆	嚗
爬	瓟
爱	嬡
爵	嚼
爷	爺
爸	妑
爹	嗲
爽	摤
片	爿
版	蝂
牌	簰
牙	厊
牛	犇
牟	哞
牢	窂
物	粅
牲	狌
牵	撁
牺	犠
犊	渎
犬	吠
犯	氾
状	匨
犹	沋
狂	誑
狗	豞
狠	哏
狡	烄
独	獨
狭	浹
狮	浉
狱	獄
狼	哴
猎	獵
猛	掹
猩	睲
猪	蕏
猫	貓
献	獻
猴	糇
猾	磆
玄	玆
率	卛
玉	砡
王	迋
玛	犸
玩	琓
玫	坆
环	寰
现	哯
玲	玪
玻	箥
珊	姍
珍	沴
珠	咮
班	癍
球	浗
琅	哴
琐	鎖
琳	啉
琴	噖
瑶	愮
瓜	呱
瓦	咓
瓶	甁
甘	苷
甚	卙
甜	甛
生	泩
用	鼡
甯	苧
田	甶
由	甴
甲	曱
申	妽
电	電
男	莮
画	畵
界	鎅
畏	嵔
畔	溿
留	畱
略	畧
番	畨
畴	帱
疆	彊
疑	寲
疗	療
疚	咎
疯	瘋
疼	庝
病	疒
痒	癢
痘	哣
痛	痌
瘤	媹
瘦	痩
瘪	癟
登	憕
白	皛
百	咟
皂	唣
的	哋
皆	湝
皇	瑝
皮	怶
皱	皺
盆	湓
盈	盁
益	谥
盐	鹽
监	盬
盒	盉
盖	葢
盗	盜
盘	盤
盛	墭
盟	擝
目	朩
盯	饤
盲	吂
直	矗
相	楿
盼	昐
省	渻
眉	葿
真	嫃
眨	喳
眩	妶
眯	侎
眶	洭
睁	諍
睛	聙
睡	腄
睬	棌
瞄	媌
瞎	磍
瞒	慲
瞥	潎
瞧	趭
瞪	簦
瞬	橓
矛	罞
知	倁
矩	怇
矮	婑
石	坧
矿	纩
码	犸
砂	唦
砍	歃
研	妍
砖	磚
砰	泙
破	岥
砸	咂
础	绌
硕	碩
硬	哽
确	確
碉	淍
碎	誶
碗	涴
碟	渫
碰	湴
碳	湠
碴	楂
磁	濨
磅	嫎
磊	藞
磕	溘
磨	嚤
磷	潾
示	沶
社	涻
祖	袓
祝	柷
神	鉮
票	嘌
祸	禍
禁	噤
福	湢
离	蓠
禽	噙
禾	秝
秀	莠
私	俬
秃	禿
秋	偢
种	種
科	萪
秒	仯
租	蒩
秦	蓁
积	積
称	稱
移	簃
稀	浠
程	珵
稍	哨
税	挩
稚	雉
稠	婤
稳	穏
稻	稲
稼	糘
稿	鎬
穴	泬
穷	窮
空	涳
穿	瑏
突	湥
窃	苆
窄	搾
窍	竅
窑	窰
窗	囱
窘	僒
窝	窉
窟	崫
窥	窺
